Atlanta Hawks	82	35	47	48.5	36.8	84.2	43.6	5.4	15.2	35.9	18.7	24.5	76.0	13.1	29.5	42.6	21.6	13.0	9.0	5.0	5.8	20.3	21.7	97.6	3.6
Boston Celtics	82	44	38	48.4	34.2	78.7	43.5	5.6	17.1	33.1	19.0	25.4	74.9	11.4	33.5	45.0	22.2	16.0	7.5	4.5	3.7	21.9	21.4	93.1	0.4
Chicago Bulls	82	30	52	48.6	36.5	83.1	43.9	5.3	16.3	32.3	21.9	29.2	74.9	13.6	31.4	45.0	23.8	14.7	9.4	5.0	5.6	21.9	24.7	100.1	5.1
Cleveland Cavaliers	82	17	65	48.4	37.5	82.8	45.3	5.2	14.6	35.8	20.9	27.1	77.2	11.4	30.4	41.7	24.0	14.2	9.8	6.0	6.4	20.8	22.7	101.0	9.6
Dallas Mavericks	82	60	22	48.2	35.7	81.5	43.8	5.8	17.1	34.0	18.0	24.8	72.7	12.7	32.7	45.5	21.7	16.1	6.7	3.9	5.5	21.3	21.1	95.2	-7.8
Denver Nuggets	82	17	65	48.1	32.9	74.2	44.3	5.1	13.8	37.0	21.6	28.5	75.7	10.5	29.8	40.3	21.5	17.1	9.0	6.6	5.1	21.8	25.1	92.4	8.3
Detroit Pistons	82	50	32	48.5	33.5	76.5	43.8	3.5	10.2	34.4	17.2	23.1	74.6	10.5	30.8	41.3	18.3	14.0	6.9	4.3	5.7	23.2	21.3	87.7	-3.7
Golden State Warriors	82	38	44	48.2	39.5	87.5	45.2	5.3	14.4	37.2	19.2	25.4	75.6	14.7	29.1	43.8	23.6	13.7	8.7	6.0	6.2	23.6	21.8	103.6	1.1
Houston Rockets	82	43	39	48.6	35.3	81.5	43.3	4.7	13.6	34.7	17.1	22.0	77.5	11.9	28.7	40.6	20.5	13.2	8.1	4.6	6.0	21.9	19.5	92.3	-1.5
Indiana Pacers	82	48	34	48.5	34.9	81.6	42.8	5.0	14.6	34.0	18.6	24.3	76.7	12.3	30.0	42.2	20.7	15.3	7.6	6.3	5.4	23.5	22.1	93.3	-3.5
Los Angeles Clippers	82	27	55	48.2	37.0	82.8	44.7	5.5	15.2	36.5	18.4	23.7	77.4	12.8	30.0	42.8	22.4	14.0	8.0	5.1	5.6	22.5	21.8	97.9	4.1
Los Angeles Lakers	82	50	32	48.6	36.3	82.0	44.3	5.7	14.9	38.0	19.8	26.0	76.0	11.7	30.4	42.1	21.4	14.5	7.9	3.8	5.7	23.4	22.9	98.0	-2.3
Memphis Grizzlies	82	28	54	48.6	39.3	85.5	46.0	5.3	14.5	36.3	16.8	22.2	75.9	13.7	31.2	44.9	24.3	14.8	8.7	5.2	6.1	21.7	20.5	100.7	3.2
Miami Heat	82	25	57	48.4	33.1	75.7	43.7	5.0	14.0	35.3	19.5	26.0	75.1	10.6	31.5	42.2	18.1	14.3	7.6	5.3	4.0	20.4	22.6	90.6	5.0
Milwaukee Bucks	82	42	40	48.5	37.1	81.0	45.8	5.8	15.6	37.5	19.2	25.8	74.5	12.5	31.0	43.4	23.1	14.4	6.6	4.1	4.2	20.5	22.2	99.3	-0.2
