Atlanta Hawks	82	24	58	48.1	40.7	86.7	46.9	11.6	30.7	37.7	15.9	20.6	77.2	10.3	34.0	44.2	26.1	15.1	8.7	5.5	4.2	20.3	19.6	108.8	5.5
Boston Celtics	82	55	27	48.3	37.4	85.0	44.0	9.4	27.7	33.9	16.3	21.3	76.3	9.6	34.2	43.8	21.3	14.1	7.2	4.4	4.5	19.2	19.7	100.4	-3.6
Brooklyn Nets	82	28	54	48.4	41.7	89.4	46.6	9.0	24.5	36.9	17.9	23.4	76.6	10.4	36.4	46.8	21.7	12.4	7.7	5.5	4.8	19.7	20.6	110.3	3.7
Charlotte Hornets	82	36	46	48.2	41.1	87.8	46.8	11.3	30.1	37.5	14.5	18.2	79.5	8.4	35.3	43.7	24.7	13.6	6.6	4.9	4.5	22.4	17.2	108.0	-0.3
Chicago Bulls	82	27	55	48.4	41.0	86.8	47.2	12.1	32.7	37.0	15.9	20.2	78.7	8.4	37.2	45.7	25.9	13.6	7.2	5.2	3.5	17.4	19.2	110.0	7.0
Cleveland Cavaliers	82	50	32	48.1	41.8	88.3	47.4	11.7	31.7	36.8	14.6	19.4	75.6	9.9	33.7	43.6	25.9	13.5	7.5	4.1	3.8	20.7	18.6	109.9	-0.9
Dallas Mavericks	82	24	58	48.3	39.3	83.8	46.9	10.7	29.4	36.3	16.2	21.4	75.7	8.8	36.9	45.8	23.5	13.7	7.2	4.5	3.8	19.6	19.2	105.4	3.0
Denver Nuggets	82	46	36	48.5	41.3	86.7	47.6	10.9	28.8	37.8	15.0	20.4	73.8	9.8	31.9	41.6	24.7	13.8	8.0	4.8	4.9	20.7	18.7	108.5	-1.5
Detroit Pistons	82	39	43	48.3	39.1	85.2	45.9	11.1	30.8	35.9	14.6	18.9	77.6	9.2	34.5	43.8	25.2	14.8	7.3	4.9	3.9	18.4	18.4	103.9	0.1
Golden State Warriors	82	58	24	48.1	40.2	90.0	44.7	10.4	29.2	35.7	16.7	22.0	75.8	10.9	31.6	42.5	23.6	14.3	8.7	3.7	7.5	18.5	19.6	107.5	-6.0
Houston Rockets	82	65	17	48.2	39.6	85.6	46.2	10.1	28.8	35.1	14.6	19.6	74.6	8.7	33.4	42.0	22.4	14.5	7.4	4.4	4.8	20.4	19.5	103.9	-8.5
Indiana Pacers	82	48	34	48.2	39.4	84.8	46.5	10.6	30.4	34.9	14.8	19.5	75.7	10.2	32.7	43.0	23.2	15.5	7.0	5.2	4.1	18.5	18.8	104.2	-1.4
LA Clippers	82	42	40	48.1	40.2	87.7	45.9	10.7	30.2	35.6	17.8	22.7	78.2	10.6	33.0	43.6	24.6	14.1	8.5	5.6	4.5	22.0	20.0	109.0	0.0
Los Angeles Lakers	82	35	47	48.5	41.0	89.9	45.6	10.4	30.1	34.6	17.1	22.5	76.1	10.2	34.6	44.8	23.6	14.3	8.3	5.5	4.7	20.5	21.2	109.6	1.5
Memphis Grizzlies	82	22	60	48.1	37.1	80.3	46.2	10.7	29.0	36.8	20.6	26.8	76.9	9.5	33.0	42.5	22.1	14.8	8.1	5.1	4.8	20.4	23.2	105.5	6.2
Miami Heat	82	44	38	48.6	37.7	83.8	45.0	9.6	26.6	36.0	18.0	23.0	78.3	9.1	34.0	43.1	21.0	14.1	7.5	4.6	5.3	19.4	20.1	102.9	-0.5
Milwaukee Bucks	82	44	38	48.4	39.1	83.7	46.8	10.1	27.1	37.2	18.4	23.5	78.3	10.0	32.8	42.7	23.6	15.6	7.1	4.5	5.4	19.9	21.4	106.8	0.3
Minnesota Timberwolves	82	47	35	48.3	40.2	84.7	47.5	10.9	29.6	36.6	16.0	20.5	77.9	9.8	32.0	41.8	23.9	15.1	6.5	4.7	4.2	20.9	18.2	107.3	-2.2
