Atlanta Hawks	82	26	56	48.5	37.5	78.5	47.8	5.4	14.7	36.8	21.6	28.9	74.5	12.0	28.5	40.4	20.6	15.0	7.3	5.1	4.8	22.6	25.0	102.0	4.8
Boston Celtics	82	33	49	48.5	35.9	78.8	45.6	5.4	15.4	35.3	22.3	30.0	74.3	11.1	28.9	40.0	21.5	14.8	8.4	4.9	5.1	22.4	24.8	99.5	1.5
Charlotte Bobcats	82	26	56	48.5	37.4	78.2	47.8	5.6	15.7	35.6	20.5	27.9	73.7	11.5	32.5	44.0	22.9	17.9	7.0	5.4	4.3	23.5	23.9	100.9	4.0
Chicago Bulls	82	41	41	48.5	33.8	79.5	42.6	6.1	17.4	35.1	23.4	30.1	77.7	10.7	31.0	41.7	20.1	15.0	7.5	5.1	4.2	23.0	24.9	97.2	-0.6
Cleveland Cavaliers	82	50	32	48.4	36.0	79.0	45.5	5.6	15.7	35.6	17.8	24.0	74.2	9.8	29.5	39.4	20.3	13.2	6.6	4.4	4.8	22.5	21.1	95.4	-2.2
Dallas Mavericks	82	60	22	48.5	34.2	77.1	44.3	4.9	13.7	36.1	19.8	26.4	75.2	11.4	26.9	38.3	17.5	14.0	6.5	4.9	6.0	23.9	22.4	93.1	-6.1
Denver Nuggets	82	44	38	48.6	37.4	82.5	45.4	6.5	18.0	35.8	18.8	25.5	73.6	11.8	30.1	41.9	23.9	16.1	7.1	5.3	5.6	23.3	22.7	100.1	-0.2
Detroit Pistons	82	64	18	48.4	35.5	78.7	45.2	4.0	12.3	32.5	15.1	20.5	73.6	11.6	29.3	40.9	18.8	14.0	5.9	3.5	6.0	21.0	18.5	90.2	-6.7
Golden State Warriors	82	34	48	48.4	37.2	81.4	45.7	5.7	16.3	35.1	19.8	26.7	74.3	12.0	32.5	44.5	22.3	15.3	7.0	5.0	4.3	23.4	23.7	99.8	1.4
Houston Rockets	82	34	48	48.4	33.0	77.0	42.9	6.6	17.9	36.9	19.0	26.0	73.1	10.7	30.2	40.9	20.1	13.3	7.1	4.5	3.9	20.9	22.7	91.7	1.6
Indiana Pacers	82	41	41	48.1	34.5	79.3	43.5	4.5	13.2	34.3	18.4	25.1	73.3	11.8	29.5	41.3	18.5	13.6	8.1	4.9	5.0	22.0	22.2	92.0	-1.9
Los Angeles Clippers	82	47	35	48.3	35.2	81.0	43.5	5.8	16.7	34.7	19.4	26.5	73.2	10.5	29.7	40.1	21.5	12.8	7.0	4.3	6.1	21.7	22.8	95.6	-1.6
Los Angeles Lakers	82	45	37	48.4	35.9	79.8	45.0	5.8	16.4	35.3	19.3	25.9	74.7	10.9	29.3	40.1	21.1	14.1	6.5	4.3	4.3	23.5	23.1	96.9	-2.5
Memphis Grizzlies	82	49	33	48.4	32.8	75.3	43.6	5.0	14.9	33.4	17.9	23.7	75.4	11.3	29.3	40.6	19.6	14.8	7.3	5.6	5.4	22.8	21.4	88.5	-3.7
Miami Heat	82	52	30	48.2	35.0	79.6	44.0	6.0	16.6	36.1	20.0	27.1	73.9	10.1	28.8	38.8	19.5	13.0	6.8	3.6	5.4	23.6	22.8	96.0	-3.9
Milwaukee Bucks	82	40	42	48.4	36.2	77.8	46.6	6.0	16.9	35.4	20.4	27.3	74.7	10.1	30.2	40.3	22.5	14.4	7.4	5.0	3.3	23.6	23.2	98.8	1.0
Minnesota Timberwolves	82	33	49	48.4	34.8	79.0	44.1	5.5	15.0	36.4	18.6	25.3	73.6	11.9	29.4	41.3	19.0	13.9	6.6	4.6	5.7	21.2	23.0	93.6	1.9
New Jersey Nets	82	49	33	48.2	33.3	75.9	43.9	5.7	16.3	34.8	20.2	27.2	74.1	9.6	31.7	41.3	20.0	14.4	7.2	4.0	3.4	23.0	23.2	92.4	-1.4
New Orleans/Oklahoma City Hornets	82	38	44	48.3	35.2	76.7	45.9	6.7	18.1	36.7	18.7	24.6	76.0	10.5	30.5	41.0	19.3	14.6	6.4	5.3	3.8	23.3	21.8	95.6	2.8
New York Knicks	82	23	59	48.6	36.2	77.5	46.7	6.9	18.2	37.8	22.8	30.2	75.3	10.8	27.8	38.6	21.3	14.1	8.2	5.3	3.3	25.4	26.3	102.0	6.4
Orlando Magic	82	36	46	48.5	35.0	77.2	45.4	5.6	15.7	35.7	20.4	27.9	73.2	11.1	27.3	38.4	20.0	13.4	7.5	4.7	4.4	23.2	23.3	96.0	1.1
Philadelphia 76ers	82	38	44	48.5	37.8	81.7	46.3	6.1	17.3	35.1	19.6	25.7	76.2	11.9	30.9	42.8	23.0	15.5	7.7	4.7	4.9	23.1	20.9	101.3	2.0
Phoenix Suns	82	54	28	48.7	39.5	87.1	45.4	6.3	17.4	36.3	17.4	23.9	73.1	12.5	33.4	45.9	18.9	14.9	7.2	3.4	5.0	19.8	20.5	102.8	-5.5
Portland Trail Blazers	82	21	61	48.1	37.0	78.9	46.8	6.1	15.9	38.1	18.3	24.0	76.0	12.5	29.8	42.4	21.2	12.9	7.2	4.9	5.3	20.8	22.3	98.3	9.5
Sacramento Kings	82	44	38	48.4	37.2	82.0	45.4	5.6	16.0	35.1	17.2	23.1	74.7	11.6	30.5	42.1	21.1	14.6	8.0	4.9	3.6	23.0	20.4	97.3	-1.5
San Antonio Spurs	82	63	19	48.3	33.9	78.3	43.3	3.7	10.8	33.9	17.2	23.3	74.0	10.8	29.5	40.3	16.3	13.9	7.3	4.2	5.7	20.8	20.9	88.8	-6.8
Seattle SuperSonics	82	35	47	48.4	39.0	80.4	48.5	6.6	17.6	37.5	20.9	27.5	76.0	12.2	28.2	40.5	24.1	14.6	7.3	4.9	3.7	22.2	23.6	105.6	3.0
Toronto Raptors	82	27	55	48.7	38.6	78.6	49.1	6.2	16.6	37.3	20.7	27.6	74.8	10.2	31.0	41.1	23.6	14.2	6.3	4.4	3.3	22.4	24.0	104.0	3.0
Utah Jazz	82	41	41	48.5	33.3	74.1	44.9	6.0	15.8	37.8	22.4	30.1	74.6	10.6	27.3	37.9	18.4	14.2	8.1	5.6	6.0	25.7	24.8	95.0	2.6
Washington Wizards	82	42	40	48.4	36.8	79.0	46.5	6.1	16.8	36.3	20.2	27.1	74.5	11.8	30.2	42.0	21.5	16.2	6.5	4.2	4.1	25.3	22.6	99.8	-1.9
